code_famille;famille;code_type;type;code_reference;date_de_livraison;date_d_installation;date_de_debut_de_garantie
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;COLORINKJET2800DTN;;2007-09-12;2007
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;COLORLASERJET2500;;;2002
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;COLORLASERJET2605DTN;;;1997
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;C711;2015;;2015
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;C711;2014;;2014
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;C831;2014;2014-02-03;2014
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;C831DTN;2015;;2015
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;E460;2011;2011-11-22;2011
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;E460;2012;2012-11-15;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;E460;2012;2012-07-20;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;E460DN;2012;2012-02-10;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;HL-5170DNLT;2004;;2004
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;M203DW;;;2018
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;M506DN;;;2018
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;M506DN;;;1997
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;M506DN;2017;;2017
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LASERJETPRO100MFPM125A;;;2014
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LASERJETP2015DN;;;2008
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LASERJET1320;2006;;1997
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LASERJET2200D;;;2004
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LASERJET2200D;;;2001
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LASERJET4050;;;1997
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LJM203;2018;;2017
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;LJM506;;;2018
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;ML2850D;2009;;2009
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;ML3710;2012;2012-10-22;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;ML3710;2011;2012-04-18;2011
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;ML3710;2012;2012-06-11;1997
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;ML3710;2011;;2011
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;ML-3710D;;;1997
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510;2013;2013-04-17;2013
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510;2013;2013-04-19;2013
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510;2012;2013-03-19;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510;2013;2013-08-30;2013
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510;2012;2013-01-02;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510DN;2013;2013-03-19;2013
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510DN;2012;;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510DN;2013;;2013
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;MS510DN;2015;;2015
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;M3820;2015;;2015
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;M3820ND;2016;;2016
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;PRO8100;2012;2013-02-21;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;OJP8100;2012;2013-05-07;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;OJP8100;2012;2013-04-05;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;OJP8100;2012;2012-10-26;2012
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;STYLUSPHOTOR2880;;;2011
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;WP4015;2013;2013-01-30;2013
EDIT;Editique;EDIT_IMPR;IMPRIMANTE;WP4015DN;2013;2013-01-30;2013
EDIT;Editique;MFP;MFP;BHC368;;;1997
EDIT;Editique;MFP;MFP;BH223;;;1997
EDIT;Editique;MFP;MFP;BH284;;;1997
EDIT;Editique;MFP;MFP;BH554;;;1997
EDIT;Editique;MFP;MFP;ES4505AC;2018;;2018
EDIT;Editique;MFP;MFP;LJPM227;;;2018
EDIT;Editique;MFP;MFP;MXM3570;;;1997
EDIT;Editique;MFP;MFP;MX310;2015;;2015
EDIT;Editique;MFP;MFP;WF6590;2018;;2018
EDIT;Editique;MFP;MFP;WP4525;2013;2013-09-27;2013
EDIT;Editique;EDIT_MULTI;Multifonction;OFFICEJETPRO8500A;;;2012
EDIT;Editique;EDIT_PHOT;Photocopieur;KON-284E;;;1997
EDIT;Editique;EDIT_PHOT;Photocopieur;KON-364E;;;1997
EDIT;Editique;EDIT_PHOT;Photocopieur;KON-454E;;;1997
EDIT;Editique;EDIT_PHOT;Photocopieur;MX-3071;;;2019
